,arrivetime,leavetime,longitude,latitude,country,region
81,2019-11-26 01:48:32.831,2019-11-26 01:50:31.888,19.832206726074,41.328784942627,alb,11
82,2019-11-26 01:48:32.927,2019-11-26 01:49:44.801,19.8325399,41.3465878,alb,11
83,2019-11-26 01:48:32.929,2019-11-26 01:50:36.965,19.8169094,41.3313028,alb,11
84,2019-11-26 01:48:33.001,2019-11-26 01:49:44.311,19.866973876953,41.349315643311,alb,11
85,2019-11-26 01:48:33.438,2019-11-26 01:49:53.729,19.4504960763505,41.320244711494,alb,11
86,2019-11-26 01:48:33.496,2019-11-26 01:51:30.832,19.8264427185059,41.3356895446777,alb,11
87,2019-11-26 01:48:33.496,2019-11-26 01:50:01.033,19.8371872,41.3178637,alb,11
88,2019-11-26 01:48:33.512,2019-11-26 01:49:52.271,19.839424133301,41.323768615723,alb,11
89,2019-11-26 01:48:33.515,2019-11-26 01:49:33.659,19.80788230896,41.341632843018,alb,11
90,2019-11-26 01:48:33.544,2019-11-26 01:50:27.658,19.780391693115,41.332710266113,alb,12
91,2019-11-26 01:48:33.643,2019-11-26 01:49:38.493,19.799942016602,41.31466293335,alb,11
92,2019-11-26 01:48:33.747,2019-11-26 01:49:45.127,19.79764308753,41.3387792786835,alb,11
93,2019-11-26 01:48:33.778,2019-11-26 01:51:04.523,19.7797521,41.3415524,alb,11
94,2019-11-26 01:48:33.874,2019-11-26 01:52:32.600,19.806716918945,41.312999725342,alb,11
95,2019-11-26 01:48:33.883,2019-11-26 01:50:19.457,19.7388611768242,41.2966159635358,alb,11
96,2019-11-26 01:48:34.012,2019-11-26 01:49:46.139,19.5716578403086,41.1646555020025,alb,11
97,2019-11-26 01:48:34.048,2019-11-26 01:49:34.048,19.8135930725106,41.3211499698063,alb,11
98,2019-11-26 01:48:34.191,2019-11-26 01:50:18.854,19.8017626130547,41.3329155087574,alb,11
99,2019-11-26 01:48:34.256,2019-11-26 01:49:56.488,19.816012410652,41.335954545961,alb,11
100,2019-11-26 01:48:34.280,2019-11-26 01:49:39.874,19.4478245,41.3121176,alb,11
101,2019-11-26 01:48:34.294,2019-11-26 01:49:57.460,19.446981,41.3204493,alb,11
102,2019-11-26 01:48:34.376,2019-11-26 01:49:59.353,19.8003452002265,41.3116173729837,alb,11
103,2019-11-26 01:48:34.555,2019-11-26 01:51:35.003,19.4442545436006,41.325780228356,alb,11
