,id,source,arrivetime,leavetime,ismobile,ismobilesite,totalpageviews,country,region,city,ip_latitude,ip_longitude,geo_latitude,geo_longitude
89,34962241,web,2019-11-26 02:50:55.144,2019-11-26 02:51:13.556,False,False,2.0,can,on,kingston,44.23107,-76.50179,,
90,34962258,app,2019-11-26 02:50:56.631,2019-11-26 02:52:05.644,True,False,3.0,alb,11,tirana,41.3311,19.8318,41.3071672,19.4879802
91,34962259,app,2019-11-26 02:50:56.724,2019-11-26 02:51:56.972,True,False,3.0,alb,11,tirana,41.3311,19.8318,41.3343906,19.4487641
92,34962319,web,2019-11-26 02:50:57.428,2019-11-26 03:01:26.965,False,False,8.0,can,bc,white rock,49.03009,-122.8098,,
93,34962260,app,2019-11-26 02:50:57.666,2019-11-26 02:51:58.030,True,False,3.0,isl,1,reykjavik,64.14393,-21.940273,42.6978958137019,13.8108827592564
94,34962261,app,2019-11-26 02:50:57.931,2019-11-26 02:52:14.584,True,False,4.0,alb,11,tirana,41.3311,19.8318,41.3200531005859,19.8010482788086
95,34962263,app,2019-11-26 02:50:58.044,2019-11-26 02:52:24.397,True,False,4.0,usa,ca,san diego,32.80901,-117.02987,34.4266588777564,-119.885660649178
96,34962266,web,2019-11-26 02:50:58.191,2019-11-26 02:51:01.201,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
97,34962323,web,2019-11-26 02:50:58.616,2019-11-26 02:51:02.117,True,False,1.0,usa,wa,langley,48.0338,-122.44857,,
98,34962324,web,2019-11-26 02:50:58.726,2019-11-26 02:51:28.381,False,False,1.0,usa,mo,st peters,38.8003,-90.6176,,
99,34962340,web,2019-11-26 02:51:01.814,2019-11-26 02:51:05.468,True,False,1.0,usa,wa,langley,48.0338,-122.44857,,
100,34962289,app,2019-11-26 02:51:03.116,2019-11-26 02:52:03.349,True,False,3.0,alb,11,tirana,41.3311,19.8318,41.2747963,19.9483006
102,34962303,app,2019-11-26 02:51:04.822,2019-11-26 02:52:05.116,True,False,3.0,alb,11,tirana,41.3311,19.8318,40.6512402,22.4338699
103,34962363,web,2019-11-26 02:51:05.183,2019-11-26 02:51:12.300,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
105,34962310,app,2019-11-26 02:51:06.541,2019-11-26 02:52:06.541,True,False,1.0,alb,11,tirana,41.3311,19.8318,41.3474062,19.8204804
106,34962311,app,2019-11-26 02:51:07.018,2019-11-26 02:52:07.023,True,False,2.0,alb,11,tirana,41.3311,19.8318,41.332979,19.7810655
107,34962377,web,2019-11-26 02:51:07.123,2019-11-26 02:51:16.139,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
108,34962379,web,2019-11-26 02:51:08.062,2019-11-26 02:51:13.835,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
109,34962380,web,2019-11-26 02:51:08.200,2019-11-26 02:51:10.348,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
110,34962316,web,2019-11-26 02:51:08.761,2019-11-26 02:51:14.200,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
111,34962389,web,2019-11-26 02:51:09.686,2019-11-26 02:51:15.616,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
112,34962411,web,2019-11-26 02:51:11.520,2019-11-26 02:51:16.565,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
113,34962339,app,2019-11-26 02:51:12.700,2019-11-26 02:52:12.908,True,False,2.0,alb,11,tirana,41.3311,19.8318,41.3037380023778,19.8133048880965
114,34962429,web,2019-11-26 02:51:14.513,2019-11-26 02:51:22.374,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
115,34962369,app,2019-11-26 02:51:15.451,2019-11-26 02:52:15.451,True,False,1.0,usa,wa,langley,48.0338,-122.44857,,
116,34962370,app,2019-11-26 02:51:15.466,2019-11-26 02:52:15.466,True,False,1.0,fra,idf,bruyeres-le-chatel,48.5936,2.1925,,
117,34962430,web,2019-11-26 02:51:15.734,2019-11-26 02:51:17.663,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
118,34962442,web,2019-11-26 02:51:16.550,2019-11-26 02:52:28.417,True,False,4.0,bih,bih,tuzla,44.55365,18.6792,,
119,34962365,web,2019-11-26 02:51:17.006,2019-11-26 03:00:10.669,False,False,1.0,rus,mow,moscow,55.7616,37.6411,,
120,34962375,app,2019-11-26 02:51:17.438,2019-11-26 02:53:16.959,True,False,4.0,grc,i,athens,37.98908,23.73204,38.016796112061,23.793483734131
121,34962449,web,2019-11-26 02:51:18.020,2019-11-26 02:53:12.085,False,False,7.0,usa,ca,monterey,36.61488,-121.89888,,
122,34962376,app,2019-11-26 02:51:18.161,2019-11-26 02:52:18.161,True,False,1.0,rus,zab,chita,52.04551,113.49294,,
123,34962381,app,2019-11-26 02:51:18.884,2019-11-26 02:52:18.884,True,False,1.0,alb,11,tirana,41.3311,19.8318,41.3277426380386,19.4512224056571
124,34962388,app,2019-11-26 02:51:19.800,2019-11-26 02:52:19.893,True,False,2.0,alb,11,tirana,41.3311,19.8318,41.325656890869,19.811328887939
125,34962401,app,2019-11-26 02:51:20.132,2019-11-26 02:53:20.560,True,False,4.0,alb,11,tirana,41.3311,19.8318,,
126,34962458,web,2019-11-26 02:51:20.275,2019-11-26 02:51:20.609,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
127,34962403,app,2019-11-26 02:51:20.697,2019-11-26 02:53:02.273,True,False,5.0,alb,11,tirana,41.3311,19.8318,,
128,34962463,web,2019-11-26 02:51:21.044,2019-11-26 02:51:27.076,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
